Fragment,Method,Sample,Species,Habitat_guild
3209,p,f11,Pheidole_sp22,NA
3304,f,l31,Pheidole_sp22,NA
3304,f,j33,Pheidole_sp22,NA
3304,p,k31,Pheidole_sp22,NA
1202,p,m12,Pheidole_sp24,NA
3209,s,i10,Pheidole_sp24,NA
1301,f,l50,Pheidole_sp24,NA
2108,p,e1,Pheidole_sp25,NA
2303,p,j27,Pheidole_sp25,NA
1202,p,i10,Pheidole_sp25,NA
2108,f,c0,Pheidole_sp25,NA
2303,f,i29,Pheidole_sp25,NA
2303,f,g28,Pheidole_sp25,NA
3114,f,b2,Pheidole_sp25,NA
1104,s,f2,Pheidole_sp26,NA
1202,f,k10,Pheidole_sp26,NA
1202,p,k14,Pheidole_sp26,NA
1301,f,h46,Pheidole_sp26,NA
1301,s,g46,Pheidole_sp26,NA
2206,f,r3,Pheidole_sp26,NA
2303,f,h30,Pheidole_sp26,NA
3114,f,c3,Pheidole_sp26,NA
3114,s,e2,Pheidole_sp26,NA
3114,s,e1,Pheidole_sp26,NA
3304,f,h29,Pheidole_sp26,NA
3304,s,j28,Pheidole_sp26,NA
2303,s,l28,Pheidole_sp28,NA
3304,p,l32,Pheidole_sp28,NA
1301,f,k47,Pheidole_sp29,NA
1301,f,j50,Pheidole_sp29,NA
1301,f,l48,Pheidole_sp29,NA
3114,p,f5,Pheidole_sp29,NA
3114,p,a1,Pheidole_sp29,NA
3114,p,c4,Pheidole_sp29,NA
3114,p,c5,Pheidole_sp29,NA
3209,p,k8,Pheidole_sp29,NA
3209,p,h10,Pheidole_sp29,NA
3304,p,j33,Pheidole_sp29,NA
3304,p,k28,Pheidole_sp29,NA
1104,s,e0,Pheidole_sp3,NA
3114,p,f0,Pheidole_sp3,NA
3114,p,c2,Pheidole_sp3,NA
3114,p,c3,Pheidole_sp3,NA
3114,p,c0,Pheidole_sp3,NA
3209,p,f10,Pheidole_sp3,NA
3304,p,h29,Pheidole_sp3,NA
3304,p,k30,Pheidole_sp3,NA
2303,p,l26,Pheidole_sp30,NA
3304,p,l32,Pheidole_sp30,NA
1104,f,d1,Pheidole_sp30,NA
1104,f,d3,Pheidole_sp30,NA
1202,f,j11,Pheidole_sp30,NA
1202,f,i10,Pheidole_sp30,NA
2206,f,r2,Pheidole_sp30,NA
2206,f,p7,Pheidole_sp30,NA
3114,p,f4,Pheidole_sp30,NA
1104,s,b4,Pheidole_sp33,NA
1301,s,i46,Pheidole_sp33,NA
1301,s,j45,Pheidole_sp34,NA
2206,f,o6,Pheidole_sp34,NA
2303,p,j28,Pheidole_sp34,NA
2303,p,g27,Pheidole_sp34,NA
2303,s,h30,Pheidole_sp34,NA
1104,f,c0,Pheidole_sp35,NA
1202,f,i9,Pheidole_sp35,NA
1202,f,n10,Pheidole_sp35,NA
1202,f,n14,Pheidole_sp35,NA
1202,f,n11,Pheidole_sp35,NA
1301,s,g46,Pheidole_sp35,NA
3114,f,c5,Pheidole_sp35,NA
3209,f,f12,Pheidole_sp35,NA
3209,s,j12,Pheidole_sp35,NA
1301,s,k48,Pheidole_sp36,NA
1301,s,l47,Pheidole_sp38,NA
1301,s,k47,Pheidole_sp38,NA
1104,f,f3,Pheidole_sp40,NA
1104,f,a5,Pheidole_sp40,NA
1202,f,n11,Pheidole_sp40,NA
1202,f,i13,Pheidole_sp40,NA
2206,f,m5,Pheidole_sp40,NA
2303,f,j28,Pheidole_sp40,NA
2206,p,q3,Pheidole_sp40,NA
3304,f,l30,Pheidole_sp40,NA
1104,f,c2,Pheidole_sp41,NA
1301,f,h50,Pheidole_sp41,NA
3114,f,c1,Pheidole_sp42,NA
3114,f,d4,Pheidole_sp42,NA
3114,f,f3,Pheidole_sp42,NA
3209,f,k10,Pheidole_sp42,NA
3304,f,j28,Pheidole_sp42,NA
3114,f,b0,Pheidole_sp43,NA
3304,f,g33,Pheidole_sp44,NA
1202,f,j14,Pheidole_sp45,NA
1202,f,i14,Pheidole_sp45,NA
2303,f,k25,Pheidole_sp45,NA
2303,f,j28,Pheidole_sp45,NA
3304,f,l30,Pheidole_sp45,NA
3304,f,k31,Pheidole_sp45,NA
2108,f,e5,Pheidole_sp46,NA
2303,f,i28,Pheidole_sp46,NA
1301,f,i50,Pheidole_sp47,NA
2108,f,f2,Pheidole_sp47,NA
2108,f,f3,Pheidole_sp47,NA
2303,f,g30,Pheidole_sp47,NA
1104,f,d5,Pheidole_sp48,NA
1104,f,e1,Pheidole_sp48,NA
1104,f,e0,Pheidole_sp48,NA
1301,f,i50,Pheidole_sp48,NA
2206,f,o4,Pheidole_sp48,NA
2206,f,m6,Pheidole_sp48,NA
1104,p,c1,Pheidole_sp5,NA
1104,p,f1,Pheidole_sp5,NA
1202,p,i9,Pheidole_sp5,NA
1301,p,l45,Pheidole_sp5,NA
2108,f,c0,Pheidole_sp5,NA
2108,p,b0,Pheidole_sp5,NA
2108,p,c3,Pheidole_sp5,NA
2108,p,e0,Pheidole_sp5,NA
2108,p,d2,Pheidole_sp5,NA
2108,p,b3,Pheidole_sp5,NA
2206,p,q3,Pheidole_sp5,NA
2206,p,o7,Pheidole_sp5,NA
2206,p,q4,Pheidole_sp5,NA
2206,s,r2,Pheidole_sp5,NA
2303,f,j25,Pheidole_sp5,NA
2303,p,g25,Pheidole_sp5,NA
3114,f,b1,Pheidole_sp5,NA
1104,f,d0,Pheidole_sp50,NA
1202,f,j12,Pheidole_sp50,NA
3209,f,k11,Pheidole_sp50,NA
3209,f,g9,Pheidole_sp50,NA
3304,f,g29,Pheidole_sp50,NA
2108,f,f0,Pheidole_sp51,NA
2108,f,f4,Pheidole_sp51,NA
2206,f,r4,Pheidole_sp51,NA
3114,p,e1,Pheidole_sp54,NA
1104,p,d5,Pheidole_sp54,NA
1202,f,k9,Pheidole_sp6,NA
1202,s,m9,Pheidole_sp6,NA
2206,p,r5,Pheidole_sp6,NA
2303,s,k25,Pheidole_sp6,NA
3114,s,c2,Pheidole_sp6,NA
1301,s,i46,Pheidole_sp61,NA
1104,p,d2,Pheidole_sp7,NA
1104,p,f3,Pheidole_sp7,NA
1104,p,e2,Pheidole_sp7,NA
1104,p,e4,Pheidole_sp7,NA
1202,f,m12,Pheidole_sp7,NA
1202,f,m11,Pheidole_sp7,NA
1202,p,m10,Pheidole_sp7,NA
1202,p,n12,Pheidole_sp7,NA
1202,p,l9,Pheidole_sp7,NA
1202,p,l14,Pheidole_sp7,NA
1202,p,l10,Pheidole_sp7,NA
1202,p,m9,Pheidole_sp7,NA
1202,p,n11,Pheidole_sp7,NA
1202,p,i13,Pheidole_sp7,NA
1202,p,n13,Pheidole_sp7,NA
1202,p,l13,Pheidole_sp7,NA
1202,p,n14,Pheidole_sp7,NA
1202,p,k14,Pheidole_sp7,NA
1202,p,i14,Pheidole_sp7,NA
1202,s,j10,Pheidole_sp7,NA
1301,f,l45,Pheidole_sp7,NA
1301,f,j48,Pheidole_sp7,NA
1301,p,j49,Pheidole_sp7,NA
1301,p,h49,Pheidole_sp7,NA
1301,p,k50,Pheidole_sp7,NA
1301,p,l48,Pheidole_sp7,NA
2108,f,b0,Pheidole_sp7,NA
2108,f,a3,Pheidole_sp7,NA
2108,f,b2,Pheidole_sp7,NA
2108,f,b3,Pheidole_sp7,NA
2108,p,d2,Pheidole_sp7,NA
2206,f,m6,Pheidole_sp7,NA
2206,p,o6,Pheidole_sp7,NA
2206,p,n5,Pheidole_sp7,NA
2206,p,p7,Pheidole_sp7,NA
2206,p,r3,Pheidole_sp7,NA
2206,p,m7,Pheidole_sp7,NA
2206,p,m2,Pheidole_sp7,NA
2206,s,o3,Pheidole_sp7,NA
2303,p,g26,Pheidole_sp7,NA
2303,p,j27,Pheidole_sp7,NA
3114,p,e0,Pheidole_sp7,NA
3114,p,d1,Pheidole_sp7,NA
3114,p,c0,Pheidole_sp7,NA
3114,p,e5,Pheidole_sp7,NA
3114,p,c3,Pheidole_sp7,NA
3114,p,d2,Pheidole_sp7,NA
3114,p,c4,Pheidole_sp7,NA
3114,p,f5,Pheidole_sp7,NA
3114,s,f0,Pheidole_sp7,NA
3209,p,j12,Pheidole_sp7,NA
3209,p,j11,Pheidole_sp7,NA
3304,p,g31,Pheidole_sp7,NA
3304,p,k31,Pheidole_sp7,NA
3304,p,h28,Pheidole_sp7,NA
3304,p,j28,Pheidole_sp7,NA
1104,p,b1,Pheidole_sp8,NA
1104,p,e1,Pheidole_sp8,NA
1104,p,a2,Pheidole_sp8,NA
1104,p,a1,Pheidole_sp8,NA
1104,p,e3,Pheidole_sp8,NA
1104,p,e4,Pheidole_sp8,NA
1104,p,d4,Pheidole_sp8,NA
1202,p,m13,Pheidole_sp8,NA
1202,p,k12,Pheidole_sp8,NA
1202,p,m12,Pheidole_sp8,NA
1202,p,n10,Pheidole_sp8,NA
1301,p,k50,Pheidole_sp8,NA
1301,p,h48,Pheidole_sp8,NA
1301,p,k47,Pheidole_sp8,NA
1301,p,j47,Pheidole_sp8,NA
1301,p,l47,Pheidole_sp8,NA
2108,p,a0,Pheidole_sp8,NA
2108,p,d1,Pheidole_sp8,NA
2206,p,m6,Pheidole_sp8,NA
2206,p,q4,Pheidole_sp8,NA
2303,p,i28,Pheidole_sp8,NA
2303,p,j28,Pheidole_sp8,NA
3114,p,c5,Pheidole_sp8,NA
3114,p,c2,Pheidole_sp8,NA
3114,p,b5,Pheidole_sp8,NA
3304,p,l33,Pheidole_sp8,NA
3304,p,j32,Pheidole_sp8,NA
3304,p,i31,Pheidole_sp8,NA
3304,p,i29,Pheidole_sp8,NA
3304,s,g28,Pheidole_sp8,NA
1301,p,l45,Pheidole_sp9,NA
1301,p,j47,Pheidole_sp9,NA
2108,p,d4,Pheidole_sp9,NA
2108,p,d2,Pheidole_sp9,NA
2108,p,d1,Pheidole_sp9,NA
2206,p,p3,Pheidole_sp9,NA
2206,p,m6,Pheidole_sp9,NA
2303,p,j29,Pheidole_sp9,NA
3209,p,h9,Pheidole_sp9,NA
3304,p,j32,Pheidole_sp9,NA
1104,s,a0,Pheidole_stulta,Forest
1301,p,i46,Pheidole_vorax,Forest
1301,s,h47,Pheidole_vorax,Forest
2303,p,l26,Pheidole_vorax,Forest
2108,p,a1,Pheidole_vorax,Forest
3209,f,i10,Pheidole_vorax,Forest
3304,p,l32,Pheidole_vorax,Forest
2206,p,r7,Platythyrea_sinuata,Generalist
2303,s,h30,Poneracantha_mecotyle,Forest
2108,p,c5,Poneracantha_triangularis,Generalist
3209,f,i9,Prionopelta_antillana,Forest
1202,f,l10,Prionopelta_minuta,Forest
1202,s,i9,Prionopelta_minuta,Forest
2108,s,d1,Prionopelta_minuta,Forest
1104,f,b1,Prionopelta_modesta,Forest
1104,f,d5,Prionopelta_modesta,Forest
1104,f,b2,Prionopelta_modesta,Forest
1202,f,j11,Prionopelta_modesta,Forest
1202,f,j10,Prionopelta_modesta,Forest
1202,f,l10,Prionopelta_modesta,Forest
1301,f,g45,Prionopelta_modesta,Forest
1301,f,g47,Prionopelta_modesta,Forest
1301,s,h49,Prionopelta_modesta,Forest
1301,s,i48,Prionopelta_modesta,Forest
1301,s,k46,Prionopelta_modesta,Forest
2206,s,q3,Prionopelta_modesta,Forest
2303,f,g25,Prionopelta_modesta,Forest
2303,f,i25,Prionopelta_modesta,Forest
2303,f,l25,Prionopelta_modesta,Forest
2303,f,g26,Prionopelta_modesta,Forest
2303,f,h27,Prionopelta_modesta,Forest
2303,s,j25,Prionopelta_modesta,Forest
3114,f,b3,Prionopelta_modesta,Forest
3114,f,b4,Prionopelta_modesta,Forest
3114,f,f5,Prionopelta_modesta,Forest
3114,f,e4,Prionopelta_modesta,Forest
3114,s,e5,Prionopelta_modesta,Forest
3114,s,d4,Prionopelta_modesta,Forest
3304,f,g33,Prionopelta_modesta,Forest
3304,f,i29,Prionopelta_modesta,Forest
3304,f,g31,Prionopelta_modesta,Forest
3304,f,k32,Prionopelta_modesta,Forest
3304,f,g32,Prionopelta_modesta,Forest
3304,s,g30,Prionopelta_modesta,Forest
2206,f,r2,Pseudomyrmex_gracilis,Generalist
1104,p,c4,Pseudomyrmex_simplex,Generalist
2108,p,a5,Pseudomyrmex_simplex,Generalist
1202,s,j14,Pseudoponera_gilberti,Forest
2206,p,o4,Pseudoponera_gilberti,Forest
1104,f,f3,Pseudoponera_stigma,Forest
1104,f,e2,Pseudoponera_stigma,Forest
1104,f,f2,Pseudoponera_stigma,Forest
1104,f,e3,Pseudoponera_stigma,Forest
1104,p,e1,Pseudoponera_stigma,Forest
1104,p,d4,Pseudoponera_stigma,Forest
1104,s,f5,Pseudoponera_stigma,Forest
1202,f,i13,Pseudoponera_stigma,Forest
1202,f,j13,Pseudoponera_stigma,Forest
1202,f,m12,Pseudoponera_stigma,Forest
1301,f,k45,Pseudoponera_stigma,Forest
1301,f,j47,Pseudoponera_stigma,Forest
1301,f,k49,Pseudoponera_stigma,Forest
1301,s,j45,Pseudoponera_stigma,Forest
1301,s,j47,Pseudoponera_stigma,Forest
1301,s,k48,Pseudoponera_stigma,Forest
1301,s,k50,Pseudoponera_stigma,Forest
1301,s,l45,Pseudoponera_stigma,Forest
2108,f,c2,Pseudoponera_stigma,Forest
2108,f,b1,Pseudoponera_stigma,Forest
2108,p,a2,Pseudoponera_stigma,Forest
2108,p,c0,Pseudoponera_stigma,Forest
2108,s,c5,Pseudoponera_stigma,Forest
2206,f,n4,Pseudoponera_stigma,Forest
2206,f,o2,Pseudoponera_stigma,Forest
2206,f,o6,Pseudoponera_stigma,Forest
2206,f,n3,Pseudoponera_stigma,Forest
2206,s,r6,Pseudoponera_stigma,Forest
2206,s,r3,Pseudoponera_stigma,Forest
2206,s,o5,Pseudoponera_stigma,Forest
2303,f,g26,Pseudoponera_stigma,Forest
2303,s,l25,Pseudoponera_stigma,Forest
3114,f,f3,Pseudoponera_stigma,Forest
3114,f,d2,Pseudoponera_stigma,Forest
3209,s,i9,Pseudoponera_stigma,Forest
3209,s,g7,Pseudoponera_stigma,Forest
3304,f,i30,Pseudoponera_stigma,Forest
3304,f,l29,Pseudoponera_stigma,Forest
3304,f,k29,Pseudoponera_stigma,Forest
3304,s,k31,Pseudoponera_stigma,Forest
3304,p,l28,Pseudoponera_stigma,Forest
1104,s,d1,Rasopone_ferruginea,Forest
1301,f,h50,Rasopone_ferruginea,Forest
1301,f,j49,Rasopone_ferruginea,Forest
1301,s,g50,Rasopone_ferruginea,Forest
3209,s,g9,Rasopone_ferruginea,Forest
1301,f,l48,Rogeria_ciliosa,Forest
2108,f,d2,Rogeria_curvipubens,Generalist
2108,s,a0,Rogeria_curvipubens,Generalist
2108,s,f0,Rogeria_curvipubens,Generalist
2303,s,k28,Rogeria_curvipubens,Generalist
3114,f,c5,Rogeria_curvipubens,Generalist
3114,s,f4,Rogeria_curvipubens,Generalist
3304,f,j32,Rogeria_curvipubens,Generalist
2108,f,b4,Rogeria_lirata,Forest
2108,f,b3,Rogeria_lirata,Forest
2206,f,q3,Rogeria_lirata,Forest
1104,f,f3,Rogeria_micromma,Generalist
1104,s,a5,Rogeria_micromma,Generalist
1202,s,m11,Rogeria_micromma,Generalist
2206,f,o6,Rogeria_micromma,Generalist
2303,f,l28,Rogeria_micromma,Generalist
3114,f,d4,Rogeria_micromma,Generalist
3114,f,d5,Rogeria_micromma,Generalist
2206,f,o7,Rogeria_scobinata,Forest
2303,f,j27,Rogeria_scobinata,Forest
3209,s,g10,Rogeria_scobinata,Forest
3304,f,l30,Rogeria_scobinata,Forest
2206,f,r4,Rogeria_sp3,NA
3209,s,i9,Rogeria_sp3,NA
3304,f,k30,Rogeria_sp3,NA
1301,f,k45,Sericomyrmex_amabilis,Generalist
1301,f,j48,Sericomyrmex_amabilis,Generalist
1301,p,h47,Sericomyrmex_amabilis,Generalist
2108,f,a3,Sericomyrmex_amabilis,Generalist
2108,p,d2,Sericomyrmex_amabilis,Generalist
2206,f,o3,Sericomyrmex_amabilis,Generalist
2206,p,n2,Sericomyrmex_amabilis,Generalist
2206,p,r7,Sericomyrmex_amabilis,Generalist
2303,f,j26,Sericomyrmex_amabilis,Generalist
2303,f,l28,Sericomyrmex_amabilis,Generalist
2303,p,g29,Sericomyrmex_amabilis,Generalist
2303,p,l29,Sericomyrmex_amabilis,Generalist
1104,f,c4,Sericomyrmex_bondari,Forest
1104,p,e4,Sericomyrmex_bondari,Forest
1202,p,j13,Sericomyrmex_bondari,Forest
2108,p,f3,Sericomyrmex_bondari,Forest
2303,f,l27,Sericomyrmex_bondari,Forest
2303,p,k28,Sericomyrmex_bondari,Forest
2303,p,i28,Sericomyrmex_bondari,Forest
2303,p,g27,Sericomyrmex_bondari,Forest
3209,p,j7,Sericomyrmex_bondari,Forest
3304,p,j32,Sericomyrmex_bondari,Forest
1202,p,k11,Sericomyrmex_mayri,Generalist
1301,f,i49,Sericomyrmex_mayri,Generalist
1301,f,g46,Sericomyrmex_mayri,Generalist
2206,f,r6,Sericomyrmex_parvulus,Generalist
2206,f,o3,Sericomyrmex_parvulus,Generalist
2303,f,h29,Sericomyrmex_parvulus,Generalist
1301,p,i49,Sericomyrmex_sp3,NA
1104,f,d3,Solenopsis_geminata,Forest
1301,f,j50,Solenopsis_geminata,Forest
1301,p,i48,Solenopsis_geminata,Forest
2303,f,l26,Solenopsis_geminata,Forest
2303,f,l25,Solenopsis_geminata,Forest
3114,f,a4,Solenopsis_geminata,Forest
2303,f,k25,Solenopsis_geminata,Forest
2303,f,k26,Solenopsis_geminata,Forest
3114,f,a0,Solenopsis_geminata,Forest
3114,f,e0,Solenopsis_geminata,Forest
3114,f,a1,Solenopsis_geminata,Forest
3114,f,d2,Solenopsis_geminata,Forest
3114,f,b1,Solenopsis_geminata,Forest
3114,p,e1,Solenopsis_geminata,Forest
3114,p,a2,Solenopsis_geminata,Forest
3114,p,f0,Solenopsis_geminata,Forest
3114,s,d0,Solenopsis_geminata,Forest
3209,f,h8,Solenopsis_geminata,Forest
3209,f,f7,Solenopsis_geminata,Forest
1104,f,c1,Solenopsis_saevissima,Generalist
1104,f,a1,Solenopsis_saevissima,Generalist
1104,s,a0,Solenopsis_saevissima,Generalist
1202,f,l9,Solenopsis_saevissima,Generalist
1301,f,l49,Solenopsis_saevissima,Generalist
1301,f,l47,Solenopsis_saevissima,Generalist
1301,f,l48,Solenopsis_saevissima,Generalist
2206,f,n3,Solenopsis_saevissima,Generalist
2206,f,o7,Solenopsis_saevissima,Generalist
2206,f,o3,Solenopsis_saevissima,Generalist
3304,p,i30,Solenopsis_saevissima,Generalist
1104,f,e5,Solenopsis_sp1,NA
1104,f,b3,Solenopsis_sp1,NA
1104,s,e4,Solenopsis_sp1,NA
1202,f,l12,Solenopsis_sp1,NA
1202,s,l10,Solenopsis_sp1,NA
1202,s,l13,Solenopsis_sp1,NA
1301,f,g46,Solenopsis_sp1,NA
1301,s,i50,Solenopsis_sp1,NA
2108,f,a3,Solenopsis_sp1,NA
2108,f,b4,Solenopsis_sp1,NA
2108,f,b0,Solenopsis_sp1,NA
2108,s,f4,Solenopsis_sp1,NA
2108,s,c4,Solenopsis_sp1,NA
2108,s,f2,Solenopsis_sp1,NA
2206,f,r6,Solenopsis_sp1,NA
2206,f,r3,Solenopsis_sp1,NA
2206,f,m4,Solenopsis_sp1,NA
2206,f,q3,Solenopsis_sp1,NA
2206,f,q5,Solenopsis_sp1,NA
2206,p,m6,Solenopsis_sp1,NA
2303,f,i30,Solenopsis_sp1,NA
2303,f,i25,Solenopsis_sp1,NA
2303,f,i26,Solenopsis_sp1,NA
2303,f,l28,Solenopsis_sp1,NA
2303,f,i28,Solenopsis_sp1,NA
2303,f,k25,Solenopsis_sp1,NA
2303,f,k27,Solenopsis_sp1,NA
2303,f,i27,Solenopsis_sp1,NA
2303,f,g25,Solenopsis_sp1,NA
2303,f,l25,Solenopsis_sp1,NA
2303,f,g28,Solenopsis_sp1,NA
2303,f,k30,Solenopsis_sp1,NA
2303,f,g29,Solenopsis_sp1,NA
2303,f,h30,Solenopsis_sp1,NA
2303,p,j28,Solenopsis_sp1,NA
2303,p,h28,Solenopsis_sp1,NA
2303,p,g26,Solenopsis_sp1,NA
3114,s,b1,Solenopsis_sp1,NA
3114,s,c2,Solenopsis_sp1,NA
3304,p,g33,Solenopsis_sp1,NA
3304,p,g31,Solenopsis_sp1,NA
1104,f,d5,Solenopsis_sp2,NA
1104,p,a4,Solenopsis_sp2,NA
1104,p,a1,Solenopsis_sp2,NA
1104,p,b5,Solenopsis_sp2,NA
1202,s,k9,Solenopsis_sp2,NA
1301,f,i50,Solenopsis_sp2,NA
1301,f,i46,Solenopsis_sp2,NA
1301,f,h45,Solenopsis_sp2,NA
1301,f,h47,Solenopsis_sp2,NA
1301,f,k49,Solenopsis_sp2,NA
1301,p,l48,Solenopsis_sp2,NA
1301,s,l45,Solenopsis_sp2,NA
1301,s,k45,Solenopsis_sp2,NA
2108,f,b3,Solenopsis_sp2,NA
2108,f,e0,Solenopsis_sp2,NA
2108,f,f1,Solenopsis_sp2,NA
2108,f,a3,Solenopsis_sp2,NA
2108,f,c1,Solenopsis_sp2,NA
2108,p,d1,Solenopsis_sp2,NA
2108,p,e1,Solenopsis_sp2,NA
2206,f,p6,Solenopsis_sp2,NA
2206,f,n6,Solenopsis_sp2,NA
2206,f,p3,Solenopsis_sp2,NA
2206,f,n4,Solenopsis_sp2,NA
2206,f,p4,Solenopsis_sp2,NA
2206,p,p7,Solenopsis_sp2,NA
2206,s,r7,Solenopsis_sp2,NA
2206,s,n7,Solenopsis_sp2,NA
2303,f,h28,Solenopsis_sp2,NA
2303,f,h27,Solenopsis_sp2,NA
2303,f,j27,Solenopsis_sp2,NA
2303,s,i27,Solenopsis_sp2,NA
3209,f,h7,Solenopsis_sp2,NA
3209,p,h10,Solenopsis_sp2,NA
3209,s,f9,Solenopsis_sp2,NA
3304,f,h32,Solenopsis_sp2,NA
3304,f,j33,Solenopsis_sp2,NA
3304,f,g31,Solenopsis_sp2,NA
3304,p,h30,Solenopsis_sp2,NA
3304,p,k33,Solenopsis_sp2,NA
1104,s,b0,Solenopsis_sp4,NA
1301,s,i48,Solenopsis_sp4,NA
2206,s,m7,Solenopsis_sp4,NA
2303,s,l29,Solenopsis_sp4,NA
2303,s,j25,Solenopsis_sp4,NA
3114,s,e2,Solenopsis_sp4,NA
3209,s,f12,Solenopsis_sp4,NA
2108,p,d2,Solenopsis_sp5,NA
2206,s,o7,Solenopsis_sp5,NA
2303,f,g30,Solenopsis_sp5,NA
2303,p,j29,Solenopsis_sp5,NA
3304,p,h32,Solenopsis_sp5,NA
3114,s,d2,Solenopsis_sp6,NA
2108,s,a2,Sphinctomyrmex_marcoyi,Forest
3114,p,e3,Strumigenys_appretiata,Forest
3209,f,f11,Strumigenys_appretiata,Forest
2303,p,j26,Strumigenys_appretiata,Forest
3114,p,e3,Strumigenys_beebei,Forest
2303,f,j27,Strumigenys_brevicornis,Forest
1301,p,j49,Strumigenys_hindenburgi,Forest
1301,p,g46,Strumigenys_perparva,Forest
2108,p,d2,Strumigenys_perparva,Forest
2206,f,p6,Strumigenys_perparva,Forest
2303,f,l28,Strumigenys_perparva,Forest
2303,f,k27,Strumigenys_perparva,Forest
2303,f,k29,Strumigenys_perparva,Forest
2303,f,l29,Strumigenys_perparva,Forest
2303,f,i26,Strumigenys_perparva,Forest
2303,p,i25,Strumigenys_perparva,Forest
2206,s,m6,Strumigenys_sp4,NA
3114,f,b3,Strumigenys_sp5,NA
3209,f,i10,Strumigenys_sp5,NA
3304,f,j28,Strumigenys_sp5,NA
2303,p,j26,Strumigenys_sp6,NA
1301,f,j50,Strumigenys_sp7,NA
3114,p,e3,Strumigenys_sp7,NA
2108,f,a2,Strumigenys_sp8,NA
2303,f,j26,Strumigenys_sp9,NA
2303,p,g27,Strumigenys_sp9,NA
2303,p,g29,Strumigenys_sp9,NA
2303,p,i25,Strumigenys_stenotes,Forest
2303,f,g28,Strumigenys_stenotes,Forest
2108,p,b1,Strumigenys_trudifera,Forest
2206,f,o4,Strumigenys_trudifera,Forest
2303,f,k30,Strumigenys_trudifera,Forest
2303,f,i25,Strumigenys_trudifera,Forest
2303,f,i30,Strumigenys_trudifera,Forest
3304,s,g28,Strumigenys_trudifera,Forest
2108,f,d0,Talaridris_mandibularis,Forest
3209,s,h8,Tranopelta_gilva,Generalist
3209,s,k8,Tranopelta_gilva,Generalist
3304,s,h31,Tranopelta_gilva,Generalist
1104,s,c2,Typhlomyrmex_pusillus,Forest
1202,s,j13,Typhlomyrmex_pusillus,Forest
1202,s,k14,Typhlomyrmex_pusillus,Forest
1301,s,h50,Typhlomyrmex_pusillus,Forest
1301,s,h49,Typhlomyrmex_pusillus,Forest
1301,s,i48,Typhlomyrmex_pusillus,Forest
2206,s,n7,Typhlomyrmex_pusillus,Forest
2206,s,n6,Typhlomyrmex_pusillus,Forest
2206,s,o5,Typhlomyrmex_pusillus,Forest
2206,s,r3,Typhlomyrmex_pusillus,Forest
2206,s,q4,Typhlomyrmex_pusillus,Forest
2206,s,r6,Typhlomyrmex_pusillus,Forest
2303,s,k26,Typhlomyrmex_pusillus,Forest
2303,s,k29,Typhlomyrmex_pusillus,Forest
2303,s,k28,Typhlomyrmex_pusillus,Forest
2303,s,l26,Typhlomyrmex_pusillus,Forest
2303,s,k30,Typhlomyrmex_pusillus,Forest
3209,s,i10,Typhlomyrmex_pusillus,Forest
3209,s,j12,Typhlomyrmex_pusillus,Forest
3304,s,h33,Typhlomyrmex_pusillus,Forest
3304,s,j33,Typhlomyrmex_pusillus,Forest
1301,s,l45,Typhlomyrmex_sp1,NA
2108,f,c5,Typhlomyrmex_sp1,NA
2303,s,k26,Typhlomyrmex_sp1,NA
3114,s,c1,Typhlomyrmex_sp1,NA
3114,s,b3,Typhlomyrmex_sp1,NA
3209,s,j11,Typhlomyrmex_sp1,NA
3304,f,j33,Typhlomyrmex_sp1,NA
3304,s,g31,Typhlomyrmex_sp1,NA
1202,s,j13,Typhlomyrmex_sp2,NA
3209,s,k11,Wadeura_holmgreni,Generalist
1104,f,b5,Wasmannia_auropunctata,Generalist
1104,f,f0,Wasmannia_auropunctata,Generalist
1104,p,f3,Wasmannia_auropunctata,Generalist
1202,p,n10,Wasmannia_auropunctata,Generalist
1301,p,h45,Wasmannia_auropunctata,Generalist
1301,p,k45,Wasmannia_auropunctata,Generalist
1301,p,k45,Wasmannia_auropunctata,Generalist
1301,p,g50,Wasmannia_auropunctata,Generalist
2108,p,e4,Wasmannia_auropunctata,Generalist
2303,p,g25,Wasmannia_auropunctata,Generalist
2303,s,h25,Wasmannia_auropunctata,Generalist
3114,f,b1,Wasmannia_auropunctata,Generalist
3209,f,g7,Wasmannia_auropunctata,Generalist
3209,p,g12,Wasmannia_auropunctata,Generalist
3114,p,b2,Wasmannia_rochai,Forest
